record_hash,area_sqm,rooms,parking,warehouse,elevator,address,price_rial,price_toman,price_usd,price_per_sqm,build_year,source_file
41126afcfc2afc8e672f42750e7474c3bf39d88ae713716e680ce62f74d72206,63.0,1,True,True,True,Shahran,1850000000.0,185000000,61666.67,29365079,,TehranHouse.csv
d261ba0a14b2251a1884df3723f4721efd026786aa5c4d57ccbf72402960ce86,60.0,1,True,True,True,Shahran,1850000000.0,185000000,61666.67,30833333,,TehranHouse.csv
47dcb316bc7238bef19f6f04207633954283cd41b28cf50cfc75f9a192d4409d,79.0,2,True,True,True,Pardis,550000000.0,55000000,18333.33,6962025,,TehranHouse.csv
4817d0101fa0160896d4170ce4bd7d799e7dee6060b1719288646a611eeec232,95.0,2,True,True,True,Shahrake Qods,902500000.0,90250000,30083.33,9500000,,TehranHouse.csv
60433c7f45a9e8e481bc5d23f17cf7e2bc577dae265ca30053671cef03009d0f,123.0,2,True,True,True,Shahrake Gharb,7000000000.0,700000000,233333.33,56910569,,TehranHouse.csv
c1b684cc8453b0b54de2c649e298b5e1058c632a52bc461935de160ea6fe79f3,70.0,2,True,True,False,North Program Organization,2050000000.0,205000000,68333.33,29285714,,TehranHouse.csv
3c97eb1135ac33ed12647f9b9960b6313c47cf5b4791de238d73be70dfe7afae,87.0,2,True,True,True,Pardis,600000000.0,60000000,20000.0,6896552,,TehranHouse.csv
faccafbef1ba1d8fa0fd4907aaa539f633dbd55353890108a56ce5dde1810ac2,59.0,1,True,True,True,Shahran,2150000000.0,215000000,71666.67,36440678,,TehranHouse.csv
131f6b31cce5286b03a388ca70a4b05934ba0186517298b0720cf340be87c3db,54.0,2,True,True,False,Andisheh,493000000.0,49300000,16433.33,9129630,,TehranHouse.csv
64756d0c66bacfac624f162c7706feeb3430dc32e76b462c2f29597cd6b38fcf,71.0,1,True,True,True,West Ferdows Boulevard,2370000000.0,237000000,79000.0,33380282,,TehranHouse.csv
291dd7a7fc25b0b6dfcd68e1c837a4a0e67e34dd73a1e0b8e0eccd9fae61a7b8,68.0,2,True,True,True,West Ferdows Boulevard,2450000000.0,245000000,81666.67,36029412,,TehranHouse.csv
16405d5c3a9df82f1b06922953947b5946f9394701dd944d6207eeef145b811f,64.0,1,True,True,True,Narmak,2100000000.0,210000000,70000.0,32812500,,TehranHouse.csv
ea3c917b079b24165b56d7c926b3464eaf00d4b7416acf56a8b7f62fc8233dae,54.0,1,False,True,True,Narmak,1690000000.0,169000000,56333.33,31296296,,TehranHouse.csv
b99c426c8ad36fb901ccdaf4aeac28b1d9583c78c6b6936711e93f48067941fd,136.0,3,True,True,True,Saadat Abad,11000000000.0,1100000000,366666.67,80882353,,TehranHouse.csv
f7c7a02d82f05c4382c7f7788f9c6a7478124b62e972d032ad60c31b931a64c9,95.0,2,True,True,True,Zafar,5000000000.0,500000000,166666.67,52631579,,TehranHouse.csv
d9e2536f40c0bb2843fc5d3970aa4e3c78781ac38257d865177c3c5696cf2962,63.0,1,False,True,False,Islamshahr,570000000.0,57000000,19000.0,9047619,,TehranHouse.csv
26c4c821f947112a6c8257f7a4d3b67a448f92ddf550ccf6ac672fd666bff530,155.0,3,True,True,True,Narmak,6700000000.0,670000000,223333.33,43225806,,TehranHouse.csv
3e7286ce2feb5efb701baef8244c7ada909407af38315d7cb546c2cdd099796c,64.0,2,False,True,False,Pirouzi,1450000000.0,145000000,48333.33,22656250,,TehranHouse.csv
df49ab72073ff6cb92400f8c4e74595acf29cd2d69c1cdacf0c1bc8784e4ff59,140.0,3,True,True,True,West Ferdows Boulevard,6400000000.0,640000000,213333.33,45714286,,TehranHouse.csv
